dates,efficiency,asleep_min,awake_min,restless_min,timeInBed,restless_rolling7,awake_rolling7,dayofweek,caffeine_mg,drink_counter
2019-01-05,95.0,438.0,3.0,18.0,459.0,18.857142857142858,1.7142857142857142,5,,
2019-01-05,96.0,64.0,2.0,1.0,67.0,14.571428571428571,1.4285714285714286,5,,
2019-01-05,95.0,438.0,3.0,18.0,459.0,13.285714285714286,1.8571428571428572,5,,
2019-01-06,95.0,535.0,5.0,25.0,565.0,13.428571428571429,2.4285714285714284,6,,
2019-01-07,96.0,487.0,4.0,18.0,509.0,13.571428571428571,2.7142857142857144,0,307.5,2.0
2019-01-08,94.0,418.0,0.0,25.0,443.0,15.142857142857142,2.7142857142857144,1,346.0,2.0
2019-01-09,95.0,483.0,5.0,25.0,513.0,18.571428571428573,3.142857142857143,2,307.5,2.0
2019-01-10,94.0,514.0,9.0,54.0,577.0,23.714285714285715,4.0,3,263.5,2.0
2019-01-11,96.0,390.0,2.0,13.0,405.0,25.428571428571427,4.0,4,330.0,1.0
2019-01-12,95.0,433.0,1.0,26.0,460.0,26.571428571428573,3.7142857142857144,5,395.0,2.0
2019-01-13,97.0,405.0,0.0,11.0,416.0,24.571428571428573,3.0,6,371.25,2.0
2019-01-14,95.0,358.0,0.0,21.0,379.0,25.0,2.4285714285714284,0,247.5,1.0
2019-01-15,90.0,457.0,5.0,48.0,510.0,28.285714285714285,3.142857142857143,1,577.5,2.0
2019-01-16,93.0,382.0,3.0,27.0,412.0,28.571428571428573,2.857142857142857,2,453.75,2.0
2019-01-17,96.0,417.0,2.0,17.0,437.0,23.285714285714285,1.8571428571428572,3,247.5,1.0
2019-01-18,97.0,488.0,4.0,11.0,503.0,23.0,2.142857142857143,4,247.5,3.0
2019-01-19,92.0,371.0,4.0,28.0,403.0,23.285714285714285,2.5714285714285716,5,480.0,2.0
2019-01-20,94.0,494.0,2.0,27.0,523.0,25.571428571428573,2.857142857142857,6,330.0,1.0
2019-01-21,100.0,89.0,0.0,0.0,89.0,22.571428571428573,2.857142857142857,0,215.0,3.0
2019-01-22,98.0,417.0,0.0,10.0,427.0,17.142857142857142,2.142857142857143,1,428.5,3.0
2019-01-23,96.0,417.0,2.0,17.0,437.0,15.714285714285714,2.0,2,311.25,2.0
2019-01-24,94.0,465.0,3.0,34.0,502.0,18.142857142857142,2.142857142857143,3,146.25,1.0
2019-01-25,99.0,363.0,0.0,5.0,368.0,17.285714285714285,1.5714285714285714,4,446.5,7.0
2019-01-26,96.0,417.0,2.0,17.0,437.0,15.714285714285714,1.2857142857142858,5,60.0,2.0
2019-01-27,97.0,677.0,2.0,17.0,696.0,14.285714285714286,1.2857142857142858,6,166.0,3.0
